nami	BARD	15853.53.0	Acer Chromebook 715 (CB715-1W / CB715-1WT)
nami	EKKO	15853.53.0	Acer Chromebook 714 (CB714-1W / CB714-1WT)
nami	PANTHEON	15853.53.0	Lenovo C340-15 Chromebook
nami	PANTHEON	15853.53.0	Lenovo Yoga C630 Chromebook
nami	SONA	15853.53.0	HP Chromebook x360 14
nami	SYNDRA	15853.53.0	Chromebook 15-de0
nami	VAYNE	15853.53.0	Dell Inspiron Chromebook 14 2-in-1 (7486)
nautilus	NAUTILUS	15853.53.0	Samsung Chromebook Plus (LTE)
nautilus	NAUTILUS	15853.53.0	Samsung Chromebook Plus (V2)
ninja	NINJA	14092.77.0	AOpen Chromebox Commercial
nissa	ANRAGGAR	15853.53.0	ASUS Chromebook CR12 CR1204C / ASUS Chromebook CR11 CR1104C
nissa	ANRAGGAR360	15853.53.0	ASUS Chromebook CR12 flip CR1204F / ASUS Chromebook CR11 flip CR1104F
nissa	CRAASK	15853.53.0	Acer Chromebook Spin 512 (R856T R856T-TCO R856TN R856TN-TCO R856LT R856LT-TCO R856LTN R856LTN-TCO)
nissa	CRAASKBOWL	15853.53.0	Acer Chromebook Spin 511 (R756T R756T-TCO R756TN R756TN-TCO R756LT R756LT-TCO R756LTN R756LTN-TCO)
nissa	CRAASKINO	15853.53.0	Acer Chromebook 315 (CB315-5H, CB315-5HT)
nissa	CRAASKVIN	15853.53.0	Acer Chromebook 511( C736, C736T, C736L, C736LT )
nissa	CRAASNETO	15853.53.0	Acer Chromebook 314(C936 /C936T /C936-TCO /C936T-TCO)
nissa	CRAASNETO	15853.53.0	Acer Chromebook 314(CB314-4H / CB314-4HT)
nissa	CRAASNETO	15853.53.0	Acer Chromebook Plus 514(CB514-4H / CB514-4HT)
nissa	JOXER	15853.53.0	HP Chromebook Plus x360 14b-cc0
nissa	JOXER	15853.53.0	HP Chromebook Plus x360 14b-cd0
nissa	JOXER	15853.53.0	HP Chromebook x360 14b-cc0
nissa	JOXER	15853.53.0	HP Chromebook x360 14b-cd0
nissa	PUJJO	15853.53.0	Lenovo 500e Yoga Chromebook Gen 4
nissa	PUJJO	15853.53.0	Lenovo Flex 3i Chromebook 12"/IdeaPad Flex 3i Chromebook (12", 8)
nissa	PUJJO1E	15853.53.0	Lenovo 100e Chromebook Gen 4 (ADL-N)
nissa	PUJJOTEEN	15853.53.0	14e Chromebook Gen 3
nissa	PUJJOTEEN	15853.53.0	14e Chromebook Gen 3 CB 5
nissa	PUJJOTEEN	15853.53.0	IdeaPad Slim 3i Chromebook Plus (14\" Intel)
nissa	PUJJOTEEN	15853.53.0	Lenovo Slim 3i Chromebook 14
nissa	QUANDISO	15853.53.0	CTL Chromebook NL73
nissa	QUANDISO	15853.53.0	LI7A
nissa	QUANDISO360	15853.53.0	CTL Chromebook NL73T/CTL Chromebook NL73TW
nissa	QUANDISO360	15853.53.0	LI7B
nissa	QUANDISO360	15853.53.0	mouse Chromebook U1-DAU01GY-A
nissa	ULDREN	15853.53.0	Dell Chromebook 3120
nissa	ULDREN360	15853.53.0	Dell Chromebook 3120 2-in-1
nissa	XIVU	15853.53.0	CR1102C
nissa	XIVU360	15853.53.0	CR1102F
nissa	YAHIKO	15853.53.0	HP Chromebook 14a-nf0xxx
nissa	YAHIKO	15853.53.0	HP Chromebook Plus 14a-nf0xxx
nissa	YAVIJO	15853.53.0	HP Fortis 14 inch G11 Chromebook
nissa	YAVIKS	15853.53.0	HP Chromebook 15.6"
nissa	YAVIKS	15853.53.0	HP Chromebook 15.6" 15w
nissa	YAVIKS	15853.53.0	HP Chromebook Plus 15
nissa	YAVILLA	15853.53.0	HP Fortis 11 inch G10 Chromebook
nissa	YAVILLY	15853.53.0	HP Fortis x360 11 inch G5 Chromebook
nocturne	NOCTURNE	15823.40.0	Google Pixel Slate
nyan-big	BIG	12371.75.0	Acer Chromebook 13 (CB5-311, C810)
nyan-blaze	BLAZE	12371.75.1	HP Chromebook 14 G3
nyan-kitty	KITTY	13310.94.2	Acer Chromebase
octopus	AMPTON	15853.53.0	ASUS Chromebook Flip C214 (EDU), ASUS Chromebook Flip C234 (CANADA CONSUMER)
octopus	APEL	15853.53.0	ASUS Chromebook C204
octopus	APELE	15853.53.0	CX1101CMA
octopus	BLOOG	15853.53.0	Chromebook x360 12b-ca0
octopus	BLOOGLET	15853.53.0	HP Chromebook 14a-na0
octopus	BLOOGUARD	15853.53.0	Chromebook x360 14a-ca0
octopus	BLOOGUARD	15853.53.0	Chromebook x360 14b-ca0
octopus	BLORB	15853.53.0	Acer Chromebook 315 (CB315)
octopus	BLUEBIRD	15853.53.0	Samsung Chromebook 4
octopus	BOBBA	15853.53.0	Acer Chromebook 311 (C733, C733U, C733T)
octopus	BOBBA	15853.53.0	Acer Chromebook 311 (CB311-9H, CB311-9HT)
octopus	BOBBA360	15853.53.0	Acer Chromebook Spin 311 (CP311-2H, CP311-2HN)
octopus	BOBBA360	15853.53.0	Acer Chromebook Spin 511 (R752T, R752TN)
octopus	CASTA	15853.53.0	Samsung Chromebook 4+
octopus	DOOD	15853.53.0	NEC Chromebook Y2
octopus	DORP	15853.53.0	Chromebook 14 G6
octopus	DROID	15853.53.0	Acer Chromebook 314 (C933L/LT)
octopus	DROID	15853.53.0	Acer Chromebook 314 (CB314)
octopus	DROID	15853.53.0	Packard Bell Chromebook 314 (PCB314)
octopus	FLEEX	15853.53.0	Dell Chromebook 3100
octopus	FOOB	15853.53.0	CTL Chromebook VX11,  CTL Chromebook VX11T
octopus	FOOB	15853.53.0	Poin2 Chromebook 11P
octopus	FOOB360	15853.53.0	CTL Chromebook VX11T
octopus	FOOB360	15853.53.0	Poin2 Chromebook 11P
octopus	GARFOUR	15853.53.0	CTL Chromebook NL81/NL81T
octopus	GARG	15853.53.0	ADVAN Chromebook 116
octopus	GARG	15853.53.0	Axioo Chromebook
octopus	GARG	15853.53.0	Baicells Chromebook BB01
octopus	GARG	15853.53.0	CTL Chromebook NL71/CT/LTE
octopus	GARG	15853.53.0	Edxis Chromebook 11 (S20-C)
octopus	GARG	15853.53.0	EVERCOSS Chromebook CB1/CB1A
octopus	GARG	15853.53.0	JOI Chromebook C100
octopus	GARG	15853.53.0	Multilaser Chromebook M11C-PC914
octopus	GARG	15853.53.0	Pixart Rxart Chromebook
octopus	GARG	15853.53.0	Poin2 Chromebook 11A
octopus	GARG	15853.53.0	Positivo Chromebook N2210
octopus	GARG	15853.53.0	Sector 5 E4 LTE Chromebook
octopus	GARG	15853.53.0	SPC Chromebook X1 Mini
octopus	GARG	15853.53.0	WS Chromebook A101
octopus	GARG	15853.53.0	XO Chromebook
octopus	GARG	15853.53.0	Zyrex Chromebook M432-1/M432-128/Zyrex Chromebook 360-1
octopus	GARG360	15853.53.0	ADVAN Chromebook 116
octopus	GARG360	15853.53.0	Ascon Chromebook 11A
octopus	GARG360	15853.53.0	Axioo Chromebook 360
octopus	GARG360	15853.53.0	Baicells Chromebook BB01
octopus	GARG360	15853.53.0	CTL Chromebook NL71T/TW/TWB
octopus	GARG360	15853.53.0	Edxis Chromebook 11 (S20-X)
octopus	GARG360	15853.53.0	EVERCOSS Chromebook CB1A
octopus	GARG360	15853.53.0	JOI Chromebook C100
octopus	GARG360	15853.53.0	Multilaser Chromebook M11HC-PC915
octopus	GARG360	15853.53.0	Pixart Rxart Chromebook
octopus	GARG360	15853.53.0	Poin2 Chromebook 11A
octopus	GARG360	15853.53.0	Positivo Chromebook N2212
octopus	GARG360	15853.53.0	SPC Chromebook X1 Mini
octopus	GARG360	15853.53.0	WS Chromebook A101
octopus	GARG360	15853.53.0	Zyrex Chromebook 360
